Symptom,Metabolite,beta_int,SE,p_value,OR_int,OR_CI_low,OR_CI_high,N_used,note,p_FDR,Direction
deprGainWeight,GlycA,-0.0878123082500429,0.009489178854873173,2.1636301212230355e-20,0.9159327736161298,0.8990549716693489,0.9331274195908412,82126,NA,1.4950684137651175e-17,negative
deprGainWeight,L_HDL_PL_pct,-0.07944793977739784,0.009126896503226295,3.1809497078321372e-18,0.9236261028975096,0.9072505225446108,0.9402972572128703,81919,NA,1.0990181240560035e-15,negative
deprGainWeight,LA_pct,0.07844309289245192,0.009821785071928652,1.3866267999594608e-15,1.0816018025808,1.0609793473263307,1.1026251003792777,82144,NA,3.193863729239958e-13,positive
deprGainWeight,XL_HDL_FC_pct,-0.06944030841401844,0.009099497610062004,2.3253446467218396e-14,0.93291581894738,0.9164247474165356,0.9497036474580004,81791,NA,4.017032877211978e-12,negative
deprGainWeight,L_HDL_C_pct,0.07072513810947802,0.009565543590103347,1.427558902413743e-13,1.0732861798532967,1.0533511703594365,1.0935984658098434,81805,NA,1.972886403135793e-11,positive
deprGainWeight,L_HDL_CE_pct,0.07010589076903763,0.009596474344976656,2.7648444752754906e-13,1.0726217559834803,1.0526352701805066,1.0929877270897386,81909,NA,3.1841792206922737e-11,positive
deprGainWeight,M_HDL_PL_pct,-0.06769439518711538,0.009416937017228375,6.54691280136689e-13,0.9345460317061735,0.9174551420558668,0.9519553004200978,82036,NA,6.462738208206458e-11,negative
deprGainWeight,Omega_6_pct,0.06799520871723798,0.009694060291230027,2.314166838222743e-12,1.0703601800682085,1.050214942693015,1.0908918436618888,82138,NA,1.9988616065148942e-10,positive
deprGainWeight,PUFA_by_MUFA,0.06839878051770523,0.010206693429738832,2.0648123059033812e-11,1.0707922344298415,1.0495837546139628,1.0924292647202518,82155,NA,1.585317003754707e-9,positive
deprGainWeight,MUFA_pct,-0.06459407147229668,0.00975362803297599,3.530099640262463e-11,0.9374479230076554,0.9196968423594547,0.9555416174930098,82153,NA,2.4392988514213615e-9,negative
deprGainWeight,PUFA_pct,0.06139378663448022,0.00960554769647177,1.6427427679352954e-10,1.0633175519949827,1.0434858769640718,1.0835261323038796,82130,NA,1.0319411387666266e-8,positive
deprGainWeight,XL_HDL_PL_pct,0.06139051745900852,0.009698621379088002,2.4544901865236437e-10,1.0633140758290052,1.0432921263116008,1.0837202690806114,81754,NA,1.413377265739865e-8,positive
deprGainWeight,TG_by_PG,-0.05993922482880349,0.009641509375401543,5.07432905912006e-10,0.9418217712243001,0.9241909404273079,0.9597889461478085,82057,NA,2.697201061424586e-8,negative
deprGainWeight,XXL_VLDL_L,-0.05834743489878607,0.009456858546473419,6.835315322182458e-10,0.9433221474606945,0.9259983023528696,0.9609700920928461,81764,NA,3.3737163483057704e-8,negative
deprGainWeight,XL_HDL_CE,0.06966989771242761,0.011318859779590858,7.498063483877064e-10,1.0721542022779935,1.0486304008102763,1.0962057103953227,82100,NA,3.454107911572701e-8,positive
deprGainWeight,XXL_VLDL_P,-0.058048967097308474,0.009477500824469942,9.072721216766804e-10,0.9436037407693096,0.9262372490140186,0.9612958456827927,81790,NA,3.88192668475224e-8,negative
deprGainWeight,VLDL_size,-0.059200105659642545,0.009678360188954474,9.550326141937493e-10,0.942518147070011,0.9248074811388507,0.9605679837952257,82153,NA,3.88192668475224e-8,negative
deprGainWeight,HDL_size,0.06538735556713722,0.010768351181779597,1.2618618628767365e-9,1.06757247444423,1.045276440974569,1.0903440884292397,82150,NA,4.844147484710138e-8,positive
deprGainWeight,XL_HDL_C,0.06792122536111987,0.011319331429726917,1.9675611851366783e-9,1.0702809941590878,1.0467973244715987,1.0942914924208373,82094,NA,6.776356253200085e-8,positive
deprGainWeight,XXL_VLDL_TG,-0.056277334782919804,0.009382438235711126,1.995698928741803e-9,0.9452769413589142,0.9280525564212951,0.9628210058603969,81750,NA,6.776356253200085e-8,negative
deprGainWeight,XL_HDL_PL,0.06831591479888786,0.011399185312716024,2.0593846789754236e-9,1.070703506137949,1.0470466759837431,1.094894835494322,82086,NA,6.776356253200085e-8,positive
deprGainWeight,Val,-0.05678584030147505,0.009534295075579142,2.585561680620569e-9,0.9447963850108028,0.9273047130386582,0.9626180009421218,82083,NA,8.121014187767332e-8,negative
deprGainWeight,XL_HDL_L,0.06753121203673638,0.011361936171597106,2.787683835426907e-9,1.0698636517003814,1.0463017637865837,1.0939561346884463,82086,NA,8.375171870782577e-8,positive
deprGainWeight,L_HDL_CE,0.06571923807277498,0.011109260947820842,3.3043398230220893e-9,1.067926841872921,1.0449249729456527,1.0914350495210028,82131,NA,9.513745073784433e-8,positive
deprGainWeight,XL_VLDL_PL,-0.056105765440609814,0.009698769247786697,7.258417802402665e-9,0.9454391358154443,0.9276364743521207,0.9635834556373386,81933,NA,1.963640241913371e-7,negative
deprGainWeight,L_HDL_C,0.06427043406393992,0.01111896539530153,7.458833245818924e-9,1.0663807454490637,1.0433923313334568,1.089875648991208,82128,NA,1.963640241913371e-7,positive
deprGainWeight,L_VLDL_TG,-0.05675358159931397,0.009826616687613749,7.672689801976992e-9,0.9448268634075838,0.9268034626395919,0.9632007624077668,81953,NA,1.963640241913371e-7,negative
deprGainWeight,XXL_VLDL_PL,-0.054493388706729005,0.009470504524360546,8.715040032037628e-9,0.9469647694989379,0.9295491665021093,0.9647066631737353,81779,NA,2.1476382034394266e-7,negative
deprGainWeight,XL_VLDL_TG,-0.05587818660717797,0.009720778983713102,9.013242821959967e-9,0.9456543222360624,0.9278075831716326,0.9638443502550242,81905,NA,2.1476382034394266e-7,negative
deprGainWeight,XL_VLDL_FC,-0.055872600141829654,0.009766777860280606,1.0609923791400282e-8,0.9456596051159214,0.9277291205657028,0.9639366372402958,81953,NA,2.443819113285865e-7,negative
deprGainWeight,XL_VLDL_L,-0.055339167798204816,0.00973602179255616,1.3161033111681432e-8,0.9461641851030274,0.9282800900951149,0.9643928322107477,81938,NA,2.9336367355393124e-7,negative
