variable,symptom,n_sig_M2,n_sig_M3_total,n_retained_M2_to_M3,retained_pct,n_new_in_M3,n_lost_after_BMI,median_attenuation_M2sig,mean_attenuation_M2sig
deprAppetite1,Appetite or weight change,81,1,1,1.2345679012345678,0,80,0.6743649591216324,0.6669339826382626
deprAttention,Attention problems,5,4,2,40,2,3,0.13351023071170187,0.07830045856491959
deprConfidence,Low self-confidence,6,10,6,100,4,0,-0.08930809047419452,-0.08600457231231229
deprDepressedEver,Depressed mood*,21,18,16,76.19047619047619,2,5,0.04205277163185339,0.010683390409147368
deprGainWeight,Weight gain,199,0,0,0,0,199,0.8820459993477887,0.8485398746008344
deprHopelessness,Hopelessness,19,15,9,47.36842105263158,6,10,0.1257306328484632,0.04684715778908435
deprLossOfInterestEver,Anhedonia*,57,18,13,22.80701754385965,5,44,0.40950448955187513,0.379076027090683
deprLostWeight,Weight loss,115,2,2,1.7391304347826086,0,113,0.8613222716578293,0.8178571381611396
deprSleep1,Sleep problems (any),59,4,4,6.779661016949152,0,55,0.25726829308610377,0.2517497040411417
deprSleepGain,Hypersomnia,2,0,0,0,0,2,0.22282931440758846,0.22282931440758846
deprSleepLoss,Insomnia,48,21,21,43.75,0,27,0.06375413798420948,0.05881967991800837
deprThoughtsOfDeath,Thoughts of death,26,24,20,76.92307692307692,4,6,0.14078574855082815,0.08039138057039637
deprTired,Fatigue,10,4,1,10,3,9,0.20029404361891723,0.15735761998119147
deprWorthlessness,Worthlessness,12,15,10,83.33333333333333,5,2,-0.11360853539364313,-0.0961707776563669
