model,variable,symptom,n_sig
Model 1,deprAppetite1,Appetite or weight change,145
Model 1,deprAttention,Attention problems,73
Model 1,deprConfidence,Low self-confidence,14
Model 1,deprDepressedEver,Depressed mood*,86
Model 1,deprGainWeight,Weight gain,204
Model 1,deprHopelessness,Hopelessness,105
Model 1,deprLossOfInterestEver,Anhedonia*,144
Model 1,deprLostWeight,Weight loss,92
Model 1,deprSleep1,Sleep problems (any),139
Model 1,deprSleepGain,Hypersomnia,7
Model 1,deprSleepLoss,Insomnia,114
Model 1,deprThoughtsOfDeath,Thoughts of death,127
Model 1,deprTired,Fatigue,94
Model 1,deprWorthlessness,Worthlessness,23
Model 2,deprAppetite1,Appetite or weight change,81
Model 2,deprAttention,Attention problems,5
Model 2,deprConfidence,Low self-confidence,6
Model 2,deprDepressedEver,Depressed mood*,21
Model 2,deprGainWeight,Weight gain,199
Model 2,deprHopelessness,Hopelessness,19
Model 2,deprLossOfInterestEver,Anhedonia*,57
Model 2,deprLostWeight,Weight loss,115
Model 2,deprSleep1,Sleep problems (any),59
Model 2,deprSleepGain,Hypersomnia,2
Model 2,deprSleepLoss,Insomnia,48
Model 2,deprThoughtsOfDeath,Thoughts of death,26
Model 2,deprTired,Fatigue,10
Model 2,deprWorthlessness,Worthlessness,12
Model 3,deprAppetite1,Appetite or weight change,1
Model 3,deprAttention,Attention problems,4
Model 3,deprConfidence,Low self-confidence,10
Model 3,deprDepressedEver,Depressed mood*,18
Model 3,deprGainWeight,Weight gain,0
Model 3,deprHopelessness,Hopelessness,15
Model 3,deprLossOfInterestEver,Anhedonia*,18
Model 3,deprLostWeight,Weight loss,2
Model 3,deprSleep1,Sleep problems (any),4
Model 3,deprSleepGain,Hypersomnia,0
Model 3,deprSleepLoss,Insomnia,21
Model 3,deprThoughtsOfDeath,Thoughts of death,24
Model 3,deprTired,Fatigue,4
Model 3,deprWorthlessness,Worthlessness,15
